 n:            log10(h):      log10(max(eps)): 
        10     -1.0413927     -1.3589135
        20     -1.3222193     -1.9028073
        40     -1.6127839     -2.4805143
        80     -1.9084850     -3.0706274
       160     -2.2068259     -3.6670034
       320     -2.5065050     -4.2662986
       640     -2.8068580     -4.8669899
      1280     -3.1075491     -5.4683668
      2560     -3.4084096     -6.0700869
      5120     -3.7093548     -6.6719815
     10240     -4.0103424     -7.2739993
     20480     -4.3113512     -7.8764323
     40960     -4.6123706     -8.4739487
     81920     -4.9133952     -8.9457351
    163840     -5.2144226     -9.1776580
    327680     -5.5154513     -7.8775755
    655360     -5.8164806     -6.6119525
   1310720     -6.1175103     -6.2470246
   2621440     -6.4185401     -6.1323950
